Feature,Model,Metric,WeightedPearsonR,N_valid
XGBoost__Regime Acc Low,Persistence,NRMSE,0.17751824483342188,724
XGBoost__Regime Acc Low,Persistence,MAE,-0.037211099885425786,724
XGBoost__Regime Acc Low,Persistence,R2,-0.11359705400199471,724
XGBoost__Regime Acc Low,Random Forest,NRMSE,0.1533990225819682,724
XGBoost__Regime Acc Low,Random Forest,MAE,0.018684957350781572,724
XGBoost__Regime Acc Low,Random Forest,R2,-0.10821676894847775,724
XGBoost__Regime Acc Low,XGBoost,NRMSE,0.11424261650060524,724
XGBoost__Regime Acc Low,XGBoost,MAE,-0.004753843579651144,724
XGBoost__Regime Acc Low,XGBoost,R2,-0.08829044895573791,724
XGBoost__Regime Acc Moderate,Persistence,NRMSE,0.14879958336733634,462
XGBoost__Regime Acc Moderate,Persistence,MAE,-0.12313070694873288,464
XGBoost__Regime Acc Moderate,Persistence,R2,-0.12334623967051474,464
XGBoost__Regime Acc Moderate,Random Forest,NRMSE,-0.16723920396063807,462
XGBoost__Regime Acc Moderate,Random Forest,MAE,-0.2613952071219408,464
XGBoost__Regime Acc Moderate,Random Forest,R2,0.09546671073855527,464
XGBoost__Regime Acc Moderate,XGBoost,NRMSE,-0.1449077882454507,462
XGBoost__Regime Acc Moderate,XGBoost,MAE,-0.26303039716912774,464
XGBoost__Regime Acc Moderate,XGBoost,R2,0.07351136191059301,464
XGBoost__Regime Acc High,Persistence,NRMSE,0.1869608942494815,420
XGBoost__Regime Acc High,Persistence,MAE,-0.08812460989347404,424
XGBoost__Regime Acc High,Persistence,R2,0.06307067845567345,424
XGBoost__Regime Acc High,Random Forest,NRMSE,0.14885807604424955,420
XGBoost__Regime Acc High,Random Forest,MAE,0.062338820199001506,424
XGBoost__Regime Acc High,Random Forest,R2,-0.07560475720398135,424
XGBoost__Regime Acc High,XGBoost,NRMSE,0.12461923496783335,420
XGBoost__Regime Acc High,XGBoost,MAE,0.006545870353043462,424
XGBoost__Regime Acc High,XGBoost,R2,0.0008355602143319336,424
Persistence_cm__Actual Low__Pred Low,Persistence,NRMSE,0.05773601156898526,944
Persistence_cm__Actual Low__Pred Low,Persistence,MAE,0.006195720113960557,950
Persistence_cm__Actual Low__Pred Low,Persistence,R2,-0.08300848384242743,950
Persistence_cm__Actual Low__Pred Low,Random Forest,NRMSE,0.31280661449841657,944
Persistence_cm__Actual Low__Pred Low,Random Forest,MAE,-0.02478590176015424,950
Persistence_cm__Actual Low__Pred Low,Random Forest,R2,-0.24849504278723988,950
Persistence_cm__Actual Low__Pred Low,XGBoost,NRMSE,0.2822084275226755,944
Persistence_cm__Actual Low__Pred Low,XGBoost,MAE,-0.02021069014159582,950
Persistence_cm__Actual Low__Pred Low,XGBoost,R2,-0.2286165400163853,950
Persistence_cm__Actual Low__Pred Moderate,Persistence,NRMSE,0.1639799245046484,944
Persistence_cm__Actual Low__Pred Moderate,Persistence,MAE,-0.014729887722496242,950
Persistence_cm__Actual Low__Pred Moderate,Persistence,R2,-0.16696760138482175,950
Persistence_cm__Actual Low__Pred Moderate,Random Forest,NRMSE,-0.16045850596461184,944
Persistence_cm__Actual Low__Pred Moderate,Random Forest,MAE,-0.036583935503741644,950
Persistence_cm__Actual Low__Pred Moderate,Random Forest,R2,0.11753942125928635,950
Persistence_cm__Actual Low__Pred Moderate,XGBoost,NRMSE,-0.16893929315122683,944
Persistence_cm__Actual Low__Pred Moderate,XGBoost,MAE,-0.04371556898549728,950
Persistence_cm__Actual Low__Pred Moderate,XGBoost,R2,0.12391189492035554,950
Persistence_cm__Actual Low__Pred High,Persistence,NRMSE,0.07156082370205485,944
Persistence_cm__Actual Low__Pred High,Persistence,MAE,0.033312486387005215,950
Persistence_cm__Actual Low__Pred High,Persistence,R2,-0.06063340185199154,950
Persistence_cm__Actual Low__Pred High,Random Forest,NRMSE,-0.17407763122136288,944
Persistence_cm__Actual Low__Pred High,Random Forest,MAE,-0.01407461150985891,950
Persistence_cm__Actual Low__Pred High,Random Forest,R2,0.10285303254257604,950
Persistence_cm__Actual Low__Pred High,XGBoost,NRMSE,-0.1368775319682738,944
Persistence_cm__Actual Low__Pred High,XGBoost,MAE,-0.01704839770803314,950
Persistence_cm__Actual Low__Pred High,XGBoost,R2,0.09514952963561445,950
Persistence_cm__Actual Moderate__Pred Low,Persistence,NRMSE,-0.12517425465684318,944
Persistence_cm__Actual Moderate__Pred Low,Persistence,MAE,-0.023058894327899555,950
Persistence_cm__Actual Moderate__Pred Low,Persistence,R2,0.05800860128953554,950
Persistence_cm__Actual Moderate__Pred Low,Random Forest,NRMSE,-0.10748808848125065,944
Persistence_cm__Actual Moderate__Pred Low,Random Forest,MAE,-0.06926478735018286,950
Persistence_cm__Actual Moderate__Pred Low,Random Forest,R2,0.07032290223274515,950
Persistence_cm__Actual Moderate__Pred Low,XGBoost,NRMSE,-0.07314310915439555,944
Persistence_cm__Actual Moderate__Pred Low,XGBoost,MAE,-0.05996366506592624,950
Persistence_cm__Actual Moderate__Pred Low,XGBoost,R2,0.039585773410054176,950
Persistence_cm__Actual Moderate__Pred Moderate,Persistence,NRMSE,-0.0694091904209014,944
Persistence_cm__Actual Moderate__Pred Moderate,Persistence,MAE,-0.0414198100277904,950
Persistence_cm__Actual Moderate__Pred Moderate,Persistence,R2,0.058165798468587444,950
Persistence_cm__Actual Moderate__Pred Moderate,Random Forest,NRMSE,-0.2020523059154104,944
Persistence_cm__Actual Moderate__Pred Moderate,Random Forest,MAE,-0.13859430301949574,950
Persistence_cm__Actual Moderate__Pred Moderate,Random Forest,R2,0.11255847643315524,950
Persistence_cm__Actual Moderate__Pred Moderate,XGBoost,NRMSE,-0.22568980060274804,944
Persistence_cm__Actual Moderate__Pred Moderate,XGBoost,MAE,-0.1382855691651131,950
Persistence_cm__Actual Moderate__Pred Moderate,XGBoost,R2,0.1377323705195119,950
Persistence_cm__Actual Moderate__Pred High,Persistence,NRMSE,0.010821100048228513,944
Persistence_cm__Actual Moderate__Pred High,Persistence,MAE,-0.010352073242629782,950
Persistence_cm__Actual Moderate__Pred High,Persistence,R2,-0.011537370156998588,950
Persistence_cm__Actual Moderate__Pred High,Random Forest,NRMSE,-0.1660976994340924,944
Persistence_cm__Actual Moderate__Pred High,Random Forest,MAE,-0.07556916803238437,950
Persistence_cm__Actual Moderate__Pred High,Random Forest,R2,0.09786828823806829,950
Persistence_cm__Actual Moderate__Pred High,XGBoost,NRMSE,-0.16725243318162927,944
Persistence_cm__Actual Moderate__Pred High,XGBoost,MAE,-0.06253353763139521,950
Persistence_cm__Actual Moderate__Pred High,XGBoost,R2,0.09958260052670555,950
Persistence_cm__Actual High__Pred Low,Persistence,NRMSE,0.10117868010795977,944
Persistence_cm__Actual High__Pred Low,Persistence,MAE,0.16853252630062018,950
Persistence_cm__Actual High__Pred Low,Persistence,R2,-0.024228599809212558,950
Persistence_cm__Actual High__Pred Low,Random Forest,NRMSE,-0.009924379996933847,944
Persistence_cm__Actual High__Pred Low,Random Forest,MAE,0.3969115815880022,950
Persistence_cm__Actual High__Pred Low,Random Forest,R2,0.02832196604041027,950
Persistence_cm__Actual High__Pred Low,XGBoost,NRMSE,-0.0011778658204722326,944
Persistence_cm__Actual High__Pred Low,XGBoost,MAE,0.3872478575935864,950
Persistence_cm__Actual High__Pred Low,XGBoost,R2,0.03133374586029782,950
Persistence_cm__Actual High__Pred Moderate,Persistence,NRMSE,-0.041853225151330435,944
Persistence_cm__Actual High__Pred Moderate,Persistence,MAE,-0.006473820754041644,950
Persistence_cm__Actual High__Pred Moderate,Persistence,R2,0.018745229847146282,950
Persistence_cm__Actual High__Pred Moderate,Random Forest,NRMSE,-0.10544763740009813,944
Persistence_cm__Actual High__Pred Moderate,Random Forest,MAE,-0.011337221612937983,950
Persistence_cm__Actual High__Pred Moderate,Random Forest,R2,0.06995356028061919,950
Persistence_cm__Actual High__Pred Moderate,XGBoost,NRMSE,-0.09530046092832208,944
Persistence_cm__Actual High__Pred Moderate,XGBoost,MAE,-0.010195004878567825,950
Persistence_cm__Actual High__Pred Moderate,XGBoost,R2,0.07131204890085507,950
Persistence_cm__Actual High__Pred High,Persistence,NRMSE,-0.14835727359933487,944
Persistence_cm__Actual High__Pred High,Persistence,MAE,-0.026664754455858933,950
Persistence_cm__Actual High__Pred High,Persistence,R2,0.19429084410928874,950
Persistence_cm__Actual High__Pred High,Random Forest,NRMSE,0.05258648056166929,944
Persistence_cm__Actual High__Pred High,Random Forest,MAE,0.07136930722377441,950
Persistence_cm__Actual High__Pred High,Random Forest,R2,0.02874209416510045,950
Persistence_cm__Actual High__Pred High,XGBoost,NRMSE,0.08199444343692469,944
Persistence_cm__Actual High__Pred High,XGBoost,MAE,0.06086585857553567,950
Persistence_cm__Actual High__Pred High,XGBoost,R2,-0.00894311255071222,950
Random Forest_cm__Actual Low__Pred Low,Persistence,NRMSE,0.17491719706823544,944
Random Forest_cm__Actual Low__Pred Low,Persistence,MAE,0.00892832628242989,950
Random Forest_cm__Actual Low__Pred Low,Persistence,R2,-0.19505988339654978,950
Random Forest_cm__Actual Low__Pred Low,Random Forest,NRMSE,0.2155229445424362,944
Random Forest_cm__Actual Low__Pred Low,Random Forest,MAE,-0.05194318370576633,950
Random Forest_cm__Actual Low__Pred Low,Random Forest,R2,-0.18747308365605378,950
Random Forest_cm__Actual Low__Pred Low,XGBoost,NRMSE,0.18696407737921164,944
Random Forest_cm__Actual Low__Pred Low,XGBoost,MAE,-0.05239458325769474,950
Random Forest_cm__Actual Low__Pred Low,XGBoost,R2,-0.163558635351792,950
Random Forest_cm__Actual Low__Pred Moderate,Persistence,NRMSE,0.07361620867427744,944
Random Forest_cm__Actual Low__Pred Moderate,Persistence,MAE,-0.00674391776574074,950
Random Forest_cm__Actual Low__Pred Moderate,Persistence,R2,-0.11779271810815972,950
Random Forest_cm__Actual Low__Pred Moderate,Random Forest,NRMSE,-0.13526337080119855,944
Random Forest_cm__Actual Low__Pred Moderate,Random Forest,MAE,-0.05191982323897491,950
Random Forest_cm__Actual Low__Pred Moderate,Random Forest,R2,0.09983702540463774,950
Random Forest_cm__Actual Low__Pred Moderate,XGBoost,NRMSE,-0.12793711384761627,944
Random Forest_cm__Actual Low__Pred Moderate,XGBoost,MAE,-0.049263920619598174,950
Random Forest_cm__Actual Low__Pred Moderate,XGBoost,R2,0.09559987506067147,950
Random Forest_cm__Actual Low__Pred High,Persistence,NRMSE,-0.07198125660859649,944
Random Forest_cm__Actual Low__Pred High,Persistence,MAE,0.02509297845418983,950
Random Forest_cm__Actual Low__Pred High,Persistence,R2,0.0815144559833419,950
Random Forest_cm__Actual Low__Pred High,Random Forest,NRMSE,-0.010486776325578751,944
Random Forest_cm__Actual Low__Pred High,Random Forest,MAE,0.2114487352753685,950
Random Forest_cm__Actual Low__Pred High,Random Forest,R2,0.03012577395249552,950
Random Forest_cm__Actual Low__Pred High,XGBoost,NRMSE,0.007534487795743863,944
Random Forest_cm__Actual Low__Pred High,XGBoost,MAE,0.21444581174404673,950
Random Forest_cm__Actual Low__Pred High,XGBoost,R2,0.02615393519864703,950
Random Forest_cm__Actual Moderate__Pred Low,Persistence,NRMSE,-0.03802692775778577,944
Random Forest_cm__Actual Moderate__Pred Low,Persistence,MAE,-0.013287530456726893,950
Random Forest_cm__Actual Moderate__Pred Low,Persistence,R2,-0.020008756040734137,950
Random Forest_cm__Actual Moderate__Pred Low,Random Forest,NRMSE,0.022331084204507717,944
Random Forest_cm__Actual Moderate__Pred Low,Random Forest,MAE,-0.04128834193996853,950
Random Forest_cm__Actual Moderate__Pred Low,Random Forest,R2,-0.04276664624106714,950
Random Forest_cm__Actual Moderate__Pred Low,XGBoost,NRMSE,0.0065288877902053635,944
Random Forest_cm__Actual Moderate__Pred Low,XGBoost,MAE,-0.027029914921981514,950
Random Forest_cm__Actual Moderate__Pred Low,XGBoost,R2,-0.01755993923117557,950
Random Forest_cm__Actual Moderate__Pred Moderate,Persistence,NRMSE,-0.09468962927779338,944
Random Forest_cm__Actual Moderate__Pred Moderate,Persistence,MAE,-0.04894059367597187,950
Random Forest_cm__Actual Moderate__Pred Moderate,Persistence,R2,0.07162325159210088,950
Random Forest_cm__Actual Moderate__Pred Moderate,Random Forest,NRMSE,-0.295963116237124,944
Random Forest_cm__Actual Moderate__Pred Moderate,Random Forest,MAE,-0.1802267583855313,950
Random Forest_cm__Actual Moderate__Pred Moderate,Random Forest,R2,0.17352007466998692,950
Random Forest_cm__Actual Moderate__Pred Moderate,XGBoost,NRMSE,-0.308822274521304,944
Random Forest_cm__Actual Moderate__Pred Moderate,XGBoost,MAE,-0.1744492211118166,950
Random Forest_cm__Actual Moderate__Pred Moderate,XGBoost,R2,0.1863175742498223,950
Random Forest_cm__Actual Moderate__Pred High,Persistence,NRMSE,-0.022763060758182557,944
Random Forest_cm__Actual Moderate__Pred High,Persistence,MAE,-0.017865857316280688,950
Random Forest_cm__Actual Moderate__Pred High,Persistence,R2,0.02372249812896855,950
Random Forest_cm__Actual Moderate__Pred High,Random Forest,NRMSE,-0.1524875561872624,944
Random Forest_cm__Actual Moderate__Pred High,Random Forest,MAE,-0.049484284881349046,950
Random Forest_cm__Actual Moderate__Pred High,Random Forest,R2,0.09958380163429703,950
Random Forest_cm__Actual Moderate__Pred High,XGBoost,NRMSE,-0.12716547867892486,944
Random Forest_cm__Actual Moderate__Pred High,XGBoost,MAE,-0.0409541997018186,950
Random Forest_cm__Actual Moderate__Pred High,XGBoost,R2,0.09329292500548766,950
Random Forest_cm__Actual High__Pred Low,Persistence,NRMSE,-0.08466841099426102,944
Random Forest_cm__Actual High__Pred Low,Persistence,MAE,0.020574433483614672,950
Random Forest_cm__Actual High__Pred Low,Persistence,R2,0.08186109563747278,950
Random Forest_cm__Actual High__Pred Low,Random Forest,NRMSE,-0.03142775478583803,944
Random Forest_cm__Actual High__Pred Low,Random Forest,MAE,0.1460226444699279,950
Random Forest_cm__Actual High__Pred Low,Random Forest,R2,0.03459849747956501,950
Random Forest_cm__Actual High__Pred Low,XGBoost,NRMSE,-0.04012491541623973,944
Random Forest_cm__Actual High__Pred Low,XGBoost,MAE,0.10866497074665475,950
Random Forest_cm__Actual High__Pred Low,XGBoost,R2,0.032222269761681986,950
Random Forest_cm__Actual High__Pred Moderate,Persistence,NRMSE,-0.14422860457845502,944
Random Forest_cm__Actual High__Pred Moderate,Persistence,MAE,-0.00822375469043053,950
