state,district,IF__anomaly_density,IF__anomaly_count,rows
Tamil Nadu,Viluppuram,0.0596707818930041,29.0,486
Tamil Nadu,Virudhunagar,0.0411522633744856,20.0,486
Telangana,ADILABAD,0.0452674897119341,22.0,486
Telangana,BHADRADRI,0.2407407407407407,117.0,486
Telangana,BHUPALPALLY,0.1213991769547325,59.0,486
Telangana,HANAMKONDA,0.242798353909465,118.0,486
Telangana,HYDERABAD,0.0905349794238683,44.0,486
Telangana,JAGITYAL,0.1275720164609053,62.0,486
Telangana,JANGAON,0.1131687242798353,55.0,486
Telangana,JAYASHANKAR BHUPALAPALLY,0.191358024691358,93.0,486
Telangana,JOGULAMBA(GADWAL),0.1975308641975308,96.0,486
Telangana,KAMAREDDY,0.1625514403292181,79.0,486
Telangana,KARIMNAGAR,0.242798353909465,118.0,486
Telangana,KHAMMAM,0.0658436213991769,32.0,486
Telangana,KUMURAM BHEEM,0.1893004115226337,92.0,486
Telangana,MAHABUBABAD,0.176954732510288,86.0,486
Telangana,MAHBUBNAGAR,0.0576131687242798,28.0,486
Telangana,MANCHERIAL,0.2181069958847736,106.0,486
Telangana,MEDAK,0.2345679012345679,114.0,486
Telangana,MEDCHAL,0.2407407407407407,117.0,486
Telangana,MULUGU,0.2016460905349794,98.0,486
Telangana,NAGARKURNOOL,0.2407407407407407,117.0,486
Telangana,NALGONDA,0.0576131687242798,28.0,486
Telangana,NIRMAL,0.242798353909465,118.0,486
Telangana,NIZAMABAD,0.2263374485596707,110.0,486
Telangana,PEDDAPALLY,0.2386831275720164,116.0,486
Telangana,RAJANNA SIRCILLA,0.1831275720164609,89.0,486
Telangana,RANGA REDDY,0.1584362139917695,77.0,486
Telangana,SANGA REDDY,0.1460905349794238,71.0,486
Telangana,SIDDIPET,0.1152263374485596,56.0,486
Telangana,SURYAPET,0.2119341563786008,103.0,486
Telangana,VIKARABAD,0.242798353909465,118.0,486
Telangana,WANAPARTHY,0.1831275720164609,89.0,486
Telangana,WARANGAL RURAL,0.1131687242798353,55.0,486
Telangana,YADADRI,0.1954732510288065,95.0,486
Tripura,NORTH TRIPURA,0.2242798353909465,109.0,486
Tripura,SOUTH TRIPURA,0.0637860082304526,31.0,486
Tripura,WEST TRIPURA,0.2119341563786008,103.0,486
Uttar Pradesh,AGRA,0.1378600823045267,67.0,486
Uttar Pradesh,ALIGARH,0.2263374485596707,110.0,486
Uttar Pradesh,AMBEDKAR NAGAR,0.0411522633744856,20.0,486
